time,open,high,low,close,Volume
1777576320,719.08,719.21,719.065,719.14,92944
1777576380,719.14,719.43,719.14,719.3225,111633
1777576440,719.31,719.32,719.25,719.27,59327
1777576500,719.27,719.3,719.19,719.205,56720
1777576560,719.205,719.37,719.19,719.28,68257
1777576620,719.27,719.4,719.27,719.3,70615
1777576680,719.3,719.34,719.21,719.21,92616
1777576740,719.23,719.27,719.13,719.14,109232
1777576800,719.13,719.16,719.03,719.145,81353
1777576860,719.15,719.19,719.04,719.15,95775
1777576920,719.15,719.19,719.07,719.13,124901
1777576980,719.13,719.23,719.13,719.16,74421
1777577040,719.17,719.3,719.17,719.26,76352
1777577100,719.26,719.35,719.205,719.31,83837
1777577160,719.31,719.355,719.19,719.25,93948
1777577220,719.245,719.32,719.19,719.2,96354
1777577280,719.18,719.28,719.17,719.21,65380
1777577340,719.19,719.29,719.05,719.12,71485
1777577400,719.11,719.13,718.91,718.94,126050
1777577460,718.94,719.045,718.86,718.92,146262
1777577520,718.9002,718.935,718.75,718.83,126878
1777577580,718.83,718.99,718.79,718.94,148456
1777577640,718.94,719.05,718.9,718.95,127016
1777577700,718.94,719.06,718.8812,718.89,196078
1777577760,718.88,719.05,718.86,719,189109
1777577820,719.01,719.03,718.84,718.95,113073
1777577880,718.97,718.99,718.9,718.955,115059
1777577940,718.955,719.21,718.95,719.165,169657
1777578000,719.16,719.21,718.92,718.93,326794
1777578060,718.94,719.09,718.83,719.03,202122
1777578120,719.03,719.1899,718.99,719.165,183266
1777578180,719.168,719.32,719.16,719.27,158916
1777578240,719.27,719.43,719.23,719.41,144975
1777578300,719.38,719.44,719.1601,719.17,293948
1777578360,719.17,719.35,719.16,719.26,188546
1777578420,719.26,719.325,719.19,719.2475,233206
1777578480,719.2475,719.365,719.2,719.26,200302
1777578540,719.28,719.57,719.22,719.51,251695
1777578600,719.51,719.79,718.88,719.4,241714
1777578660,719.4,719.43,719.2,719.22,304760
1777578720,719.22,719.2385,718.83,718.97,284237
1777578780,718.97,719.27,718.95,719.17,266377
1777578840,719.17,719.37,719.09,719.225,272414
1777578900,719.22,719.27,718.9,718.995,559038
1777578960,718.99,719,718.71,718.89,542898
1777579020,718.89,718.95,718.73,718.935,644034
1777579080,718.93,719.17,718.69,718.9,909557
1777579140,718.91,719.7,718.35,718.43,2908251
1777642200,721.25,721.41,720.74,721.19,584155
1777642260,721.23,721.73,721.1,721.55,277136
1777642320,721.55,721.96,721.52,721.93,301813
1777642380,721.93,722.21,721.83,722.17,166300
1777642440,722.21,722.36,722.07,722.32,132073
1777642500,722.34,722.52,722.31,722.5093,156051
1777642560,722.51,722.51,722.26,722.42,144162
1777642620,722.48,722.61,722.3001,722.46,162399
1777642680,722.45,722.45,722.12,722.27,130804
1777642740,722.28,722.33,722.08,722.11,77160
1777642800,722.12,722.45,722,722.44,201815
1777642860,722.445,722.62,722.28,722.49,120856
1777642920,722.49,722.5171,722.1001,722.3599,155301
1777642980,722.33,722.33,722.12,722.2399,150392
1777643040,722.202,722.54,722.2,722.52,96067
1777643100,722.49,722.54,722.11,722.2,85210
1777643160,722.16,722.19,721.94,721.999,90259
1777643220,721.985,722.19,721.9401,722.0204,110602
1777643280,722.03,722.36,722,722.19,85040
1777643340,722.18,722.31,722.06,722.18,54647
1777643400,722.21,722.67,721.87,722.65,173441
1777643460,722.63,722.64,722.34,722.425,69609
1777643520,722.4201,722.56,722.225,722.43,76250
1777643580,722.41,722.49,722.3,722.465,65083
1777643640,722.48,722.91,722.4284,722.56,172616
1777643700,722.6,723.95,722.6,723.32,376177
1777643760,723.3,723.61,723.25,723.515,199617
1777643820,723.51,723.75,723.48,723.58,111171
1777643880,723.6,723.86,723.45,723.805,129891
1777643940,723.81,724.24,723.7,724.175,121741
1777644000,724.19,724.43,723.95,724.26,180127
1777644060,724.28,724.52,724.22,724.42,107395
1777644120,724.44,724.56,724.27,724.39,112170
1777644180,724.43,724.65,724.36,724.59,54762
1777644240,724.62,724.62,724.29,724.354,145944
1777644300,724.36,724.38,723.77,724.06,139322
1777644360,724.07,724.2799,724.05,724.2399,59211
1777644420,724.22,724.3,724,724.09,124878
1777644480,724.08,724.11,723.924,724.06,57792
1777644540,724.0699,724.22,724.035,724.0523,55950
1777644600,724.06,724.27,724.04,724.1,91744
1777644660,724.1,724.21,723.93,724.15,100305
1777644720,724.16,724.55,724.09,724.49,107186
1777644780,724.47,724.66,724.435,724.54,70101
1777644840,724.55,724.62,724.36,724.45,54530
1777644900,724.45,724.58,724.21,724.23,105850
1777644960,724.23,724.65,724.18,724.44,106272
1777645020,724.44,724.58,724.41,724.445,46395
1777645080,724.43,724.475,724.215,724.23,85176
1777645140,724.23,724.54,724.23,724.46,39538
1777645200,724.48,724.67,724.48,724.57,54611
1777645260,724.54,724.77,724.54,724.72,75224
1777645320,724.71,724.87,724.685,724.78,105269
1777645380,724.785,724.81,724.55,724.65,87184
1777645440,724.66,724.8,724.57,724.585,69151
1777645500,724.585,724.59,724.41,724.465,89455
1777645560,724.4682,724.554,724.35,724.47,71769
1777645620,724.47,724.6,724.415,724.54,52717
1777645680,724.54,724.56,724.3502,724.39,32294
1777645740,724.39,724.43,724.18,724.2588,94485
1777645800,724.27,724.27,723.81,723.88,136812
1777645860,723.87,723.88,723.68,723.8199,178755
