time,open,high,low,close,Volume
1777642210,721.13,721.2,720.92,720.98,68808
1777642220,720.98,720.98,720.78,720.855,63187
1777642230,720.87,720.97,720.74,720.88,63687
1777642240,720.88,721.09,720.77,721.06,68611
1777642250,721.06,721.22,720.96,721.19,44485
1777642260,721.23,721.34,721.1,721.2801,58495
1777642270,721.31,721.6,721.27,721.55,55123
1777642280,721.54,721.6,721.29,721.42,30011
1777642290,721.47,721.64,721.39,721.62,79484
1777642300,721.62,721.71,721.52,721.6,31588
1777642310,721.58,721.73,721.55,721.55,22435
1777642320,721.55,721.78,721.52,721.74,90552
1777642330,721.73,721.87,721.67,721.685,67687
1777642340,721.7,721.78,721.63,721.7,45432
1777642350,721.75,721.83,721.73,721.77,35575
1777642360,721.75,721.86,721.7,721.835,22630
1777642370,721.86,721.96,721.82,721.93,39937
1777642380,721.93,722.03,721.83,721.96,46585
1777642390,721.9501,722.11,721.91,722.085,27209
1777642400,722.08,722.11,721.98,722,20825
1777642410,721.98,722.06,721.91,721.96,39895
1777642420,721.99,722.13,721.97,722.1088,22088
1777642430,722.1,722.21,722.05,722.17,9698
1777642440,722.21,722.29,722.13,722.18,33575
1777642450,722.19,722.35,722.13,722.22,16200
1777642460,722.23,722.25,722.07,722.1599,21485
1777642470,722.1599,722.2,722.07,722.16,19216
1777642480,722.14,722.3,722.14,722.28,18650
1777642490,722.28,722.36,722.2,722.32,22947
1777642500,722.34,722.45,722.31,722.4,37867
1777642510,722.39,722.41,722.31,722.33,29916
1777642520,722.34,722.4,722.32,722.34,24204
1777642530,722.35,722.4991,722.35,722.47,25617
1777642540,722.45,722.52,722.37,722.46,20695
1777642550,722.455,722.51,722.41,722.5093,17752
1777642560,722.51,722.51,722.26,722.33,16119
1777642570,722.325,722.4,722.27,722.3699,18104
1777642580,722.36,722.41,722.28,722.4,18145
1777642590,722.41,722.44,722.29,722.33,37371
1777642600,722.32,722.35,722.27,722.32,22957
1777642610,722.32,722.47,722.32,722.42,31466
1777642620,722.48,722.59,722.4,722.57,25574
1777642630,722.5701,722.61,722.4501,722.4501,38250
1777642640,722.47,722.49,722.4083,722.45,23350
1777642650,722.45,722.45,722.3001,722.34,23065
1777642660,722.34,722.5,722.32,722.46,27650
1777642670,722.41,722.5,722.35,722.46,24510
1777642680,722.45,722.45,722.32,722.33,11630
1777642690,722.335,722.335,722.18,722.19,31097
1777642700,722.24,722.3,722.14,722.16,19522
1777642710,722.16,722.29,722.12,722.2899,27389
1777642720,722.29,722.32,722.23,722.24,19813
1777642730,722.24,722.3,722.19,722.27,21353
1777642740,722.28,722.33,722.22,722.22,24143
1777642750,722.22,722.24,722.135,722.24,13234
1777642760,722.23,722.27,722.19,722.2458,12471
1777642770,722.23,722.2625,722.22,722.24,9286
1777642780,722.23,722.23,722.16,722.1899,6596
1777642790,722.1659,722.18,722.08,722.11,11430
1777642800,722.12,722.2,722,722.145,112467
1777642810,722.1999,722.35,722.1999,722.31,14935
1777642820,722.34,722.38,722.25,722.29,9414
1777642830,722.29,722.34,722.27,722.32,26309
1777642840,722.31,722.35,722.27,722.32,14021
1777642850,722.32,722.45,722.31,722.44,24669
1777642860,722.445,722.46,722.28,722.28,44770
1777642870,722.28,722.45,722.28,722.4,16178
1777642880,722.4,722.45,722.32,722.43,8773
1777642890,722.445,722.49,722.41,722.43,10159
1777642900,722.41,722.61,722.41,722.6,21965
1777642910,722.61,722.62,722.456,722.49,19011
1777642920,722.49,722.5171,722.31,722.3874,49932
1777642930,722.38,722.42,722.33,722.35,34014
1777642940,722.34,722.35,722.25,722.29,40032
1777642950,722.26,722.26,722.1001,722.14,15516
1777642960,722.15,722.2699,722.145,722.2699,7995
1777642970,722.27,722.3599,722.26,722.3599,7812
1777642980,722.33,722.33,722.18,722.2,98912
1777642990,722.21,722.23,722.15,722.18,13069
1777643000,722.1801,722.25,722.17,722.2085,5950
1777643010,722.21,722.23,722.12,722.15,10727
1777643020,722.1401,722.25,722.13,722.25,4104
1777643030,722.22,722.27,722.21,722.2399,17630
1777643040,722.202,722.39,722.2,722.3,33090
1777643050,722.36,722.42,722.29,722.4,15742
1777643060,722.3901,722.395,722.3,722.35,11421
1777643070,722.31,722.395,722.28,722.395,7783
1777643080,722.4,722.48,722.4,722.44,19104
1777643090,722.44,722.54,722.43,722.52,8927
1777643100,722.49,722.54,722.2903,722.3022,20208
1777643110,722.29,722.36,722.24,722.35,13141
1777643120,722.335,722.335,722.195,722.195,19139
1777643130,722.195,722.2,722.11,722.18,7311
1777643140,722.17,722.22,722.1201,722.2,8513
1777643150,722.16,722.22,722.13,722.2,16898
1777643160,722.16,722.19,722.08,722.08,17767
1777643170,722.07,722.1599,722.01,722.01,25579
1777643180,722.02,722.04,721.94,722.005,12976
1777643190,722,722.04,721.95,722.005,17174
1777643200,721.98,722.06,721.97,722.03,7933
1777643210,722.0022,722.06,721.999,721.999,8830
1777643220,721.985,722.13,721.9401,722.11,58040
1777643230,722.12,722.1675,722.0546,722.07,15005
1777643240,722.075,722.19,722.02,722.08,16172
1777643250,722.07,722.09,722,722.015,4109
1777643260,722.01,722.06,721.99,722.005,9175
1777643270,721.97,722.025,721.97,722.0204,8101
1777643280,722.03,722.215,722,722.21,18725
1777643290,722.19,722.2399,722.14,722.1899,12735
1777643300,722.2,722.26,722.161,722.24,14387
1777643310,722.23,722.34,722.1804,722.34,21391
1777643320,722.335,722.36,722.27,722.29,3214
1777643330,722.3099,722.3099,722.13,722.19,14588
1777643340,722.18,722.31,722.167,722.275,21602
1777643350,722.2692,722.28,722.185,722.185,6952
1777643360,722.1804,722.2,722.06,722.13,10301
1777643370,722.13,722.17,722.06,722.14,6044
1777643380,722.15,722.25,722.13,722.2,5310
1777643390,722.18,722.23,722.16,722.18,4438
1777643400,722.21,722.29,722.18,722.215,12147
1777643410,722.23,722.23,721.95,721.97,23335
1777643420,721.97,721.98,721.88,721.91,7061
1777643430,721.88,721.955,721.87,721.89,10442
1777643440,721.885,722.67,721.885,722.49,110033
1777643450,722.525,722.66,722.46,722.65,10423
1777643460,722.63,722.64,722.45,722.45,16274
1777643470,722.48,722.54,722.46,722.49,19070
1777643480,722.48,722.49,722.39,722.39,7294
1777643490,722.39,722.44,722.36,722.385,6204
1777643500,722.39,722.46,722.38,722.38,12758
1777643510,722.39,722.425,722.34,722.425,8009
1777643520,722.4201,722.45,722.23,722.23,11192
1777643530,722.23,722.41,722.225,722.41,18300
1777643540,722.4,722.49,722.3748,722.49,12353
1777643550,722.49,722.56,722.43,722.5,13554
1777643560,722.51,722.55,722.45,722.45,9423
1777643570,722.49,722.515,722.4,722.43,11428
1777643580,722.41,722.49,722.3,722.335,28031
1777643590,722.35,722.44,722.32,722.44,11602
1777643600,722.44,722.455,722.39,722.4201,6043
1777643610,722.43,722.47,722.405,722.44,10804
1777643620,722.435,722.47,722.41,722.41,2834
1777643630,722.415,722.48,722.4,722.465,5769
1777643640,722.48,722.52,722.4284,722.4421,18345
1777643650,722.45,722.77,722.445,722.73,45546
1777643660,722.75,722.91,722.52,722.73,50899
1777643670,722.76,722.88,722.745,722.815,11347
1777643680,722.83,722.83,722.6015,722.61,17017
1777643690,722.605,722.73,722.43,722.56,29462
1777643700,722.6,722.74,722.6,722.7399,48596
1777643710,722.74,723.3,722.63,723.17,100681
1777643720,723.23,723.865,723.18,723.86,89361
1777643730,723.86,723.95,723.42,723.425,53366
1777643740,723.45,723.5,723.28,723.3,36233
1777643750,723.31,723.49,723.29,723.32,47940
1777643760,723.3,723.48,723.27,723.39,23202
1777643770,723.38,723.48,723.25,723.3,115016
1777643780,723.35,723.44,723.29,723.4399,20286
1777643790,723.44,723.5,723.42,723.45,7755
1777643800,723.468,723.47,723.32,723.38,8711
1777643810,723.35,723.61,723.35,723.515,24647
1777643820,723.51,723.63,723.48,723.585,27977
1777643830,723.605,723.6595,723.52,723.59,15482
1777643840,723.595,723.64,723.53,723.637,10997
1777643850,723.63,723.75,723.57,723.65,17672
1777643860,723.65,723.68,723.59,723.625,24732
1777643870,723.63,723.64,723.53,723.58,14311
1777643880,723.6,723.73,723.5105,723.5299,16564
1777643890,723.51,723.58,723.45,723.5563,19334
1777643900,723.55,723.71,723.547584,723.68,36576
1777643910,723.69,723.735,723.63,723.695,12567
1777643920,723.71,723.77,723.69,723.77,26822
1777643930,723.7763,723.86,723.76,723.805,18028
1777643940,723.81,723.83,723.7,723.81,16305
1777643950,723.81,723.9,723.79,723.89,14224
1777643960,723.89,723.98,723.87,723.9001,17995
1777643970,723.94,723.97,723.85,723.85,27375
1777643980,723.875,724.1,723.81,723.995,27911
1777643990,723.995,724.24,723.96,724.175,17931
1777644000,724.19,724.25,723.99,724.1,40031
1777644010,724.11,724.25,723.96,724.01,20658
1777644020,724.01,724.08,723.95,723.95,25605
1777644030,724,724.31,723.97,724.31,50404
1777644040,724.33,724.43,724.2,724.26,32552
1777644050,724.27,724.34,724.24,724.26,10877
1777644060,724.28,724.38,724.22,724.31,16179
1777644070,724.29,724.47,724.28,724.415,12365
1777644080,724.396,724.409,724.34,724.36,11790
1777644090,724.36,724.52,724.35,724.425,17882
1777644100,724.42,724.42,724.34,724.36,32995
1777644110,724.365,724.44,724.34,724.42,16184
1777644120,724.44,724.52,724.4301,724.5,24218
1777644130,724.5,724.56,724.27,724.295,23099
1777644140,724.315,724.435,724.28,724.42,13024
1777644150,724.42,724.5264,724.41,724.52,12130
1777644160,724.5199,724.5199,724.395,724.47,11351
1777644170,724.47,724.47,724.39,724.39,28348
1777644180,724.43,724.49,724.36,724.386,5310
1777644190,724.4,724.61,724.4,724.53,15848
1777644200,724.54,724.54,724.47,724.5025,4147
1777644210,724.48,724.57,724.46,724.5501,7907
1777644220,724.5552,724.65,724.48,724.5199,12051
1777644230,724.495,724.6,724.47,724.59,9499
1777644240,724.62,724.62,724.51,724.56,21179
1777644250,724.53,724.55,724.43,724.46,15149
1777644260,724.466,724.47,724.37,724.425,13673
1777644270,724.425,724.48,724.33,724.35,37536
1777644280,724.38,724.39,724.295,724.3,27760
1777644290,724.31,724.39,724.29,724.354,30647
1777644300,724.36,724.38,724.14,724.14,23340
1777644310,724.13,724.22,724.09,724.12,24734
1777644320,724.13,724.18,724.0501,724.06,24727
1777644330,724.05,724.105,723.98,724.01,18679
1777644340,724.02,724.06,723.77,723.86,31451
1777644350,723.87,724.06,723.83,724.06,16391
1777644360,724.07,724.13,724.05,724.11,11576
1777644370,724.12,724.13,724.0663,724.13,8788
1777644380,724.14,724.18,724.05,724.18,10342
1777644390,724.18,724.21,724.1401,724.2,11322
1777644400,724.2,724.2799,724.17,724.17,10909
1777644410,724.2,724.2399,724.17,724.2399,6274
1777644420,724.22,724.3,724.2101,724.26,12790
1777644430,724.27,724.29,724.22,724.25,44825
1777644440,724.25,724.27,724.13,724.17,40341
1777644450,724.16,724.16,724,724.01,12512
1777644460,724.01,724.13,724,724.13,7906
1777644470,724.12,724.145,724.07,724.09,6504
1777644480,724.08,724.09,723.9901,724,8235
1777644490,724,724,723.94,723.99,13548
1777644500,723.985,724.0399,723.97,723.97,10060
1777644510,723.95,723.98,723.924,723.96,11011
1777644520,723.97,724.1,723.96,724.09,7233
1777644530,724.07,724.11,724.0501,724.06,7705
1777644540,724.0699,724.16,724.04,724.095,9708
1777644550,724.11,724.16,724.035,724.035,8074
1777644560,724.07,724.1,724.04,724.095,6641
1777644570,724.09,724.12,724.06,724.06,12782
1777644580,724.055,724.14,724.05,724.13,6852
1777644590,724.135,724.22,724.0523,724.0523,11893
1777644600,724.06,724.11,724.04,724.09,10146
1777644610,724.0999,724.14,724.0801,724.1,7113
1777644620,724.1,724.27,724.1,724.2694,21470
1777644630,724.2699,724.2699,724.16,724.16,22482
1777644640,724.165,724.19,724.12,724.15,16873
1777644650,724.145,724.15,724.09,724.1,13660
1777644660,724.1,724.11,724.04,724.07,11646
1777644670,724.09,724.11,723.99,724.04,10678
1777644680,724.04,724.0431,723.99,724.03,7796
1777644690,724.01,724.02,723.93,724,26772
1777644700,723.99,724.16,723.99,724.16,31875
1777644710,724.17,724.21,724.14,724.15,11538
1777644720,724.16,724.24,724.13,724.15,30843
1777644730,724.14,724.15,724.09,724.15,15154
1777644740,724.1512,724.34,724.15,724.34,26106
