time,open,high,low,close,Volume
1770395400,687.105,688.01,687.05,687.7,2097689
1770396300,687.7,688.02,686.94,687.46,1512193
1770397200,687.455,688.4,687.14,687.94,1564853
1770398100,687.94,688.51,687.61,688.48,1246387
1770399000,688.5,688.91,687.8524,688.5,1550101
1770399900,688.5,689.54,688.495,688.95,1821357
1770400800,688.96,689.51,688.89,689.045,1289275
1770401700,689.045,689.44,688.59,688.945,1134177
1770402600,688.95,689.46,688.88,689.305,933119
1770403500,689.31,689.66,688.95,689.03,1198192
1770404400,689.03,689.42,688.9,688.9099,1523657
1770405300,688.91,689.53,688.74,689.478,1246919
1770406200,689.48,689.56,688.9,688.975,1266489
1770407100,688.98,689.76,688.97,689.35,1296045
1770408000,689.34,689.81,689.1,689.465,1804564
1770408900,689.47,690.14,689.4425,689.775,2200672
1770409800,689.77,690.7687,689.6,690.75,2963890
1770410700,690.76,692.31,690.58,690.66,9243061
1770647400,689.42,691.57,688.34,691.195,5897598
1770648300,691.19,691.635,689.78,690.4,3929492
1770649200,690.38,691.94,690.22,691.78,2651090
1770650100,691.79,692.93,691.69,691.94,2539775
1770651000,691.96,693.765,691.9387,693.54,2526255
1770651900,693.54,694.46,693.21,694.24,2319293
1770652800,694.23,694.62,694.06,694.305,1592084
1770653700,694.3,694.76,694.06,694.6897,1653187
1770654600,694.68,695,694.27,694.97,1401362
1770655500,694.97,695.59,694.96,695.39,1812971
1770656400,695.385,695.66,695.21,695.48,1235706
1770657300,695.47,695.59,695.12,695.14,1094011
1770658200,695.15,695.51,694.82,694.93,1009180
1770659100,694.94,695.01,694.48,694.58,916966
1770660000,694.57,694.952,694.36,694.865,1025006
1770660900,694.87,695,693.55,694.23,2129103
1770661800,694.23,695.17,694,695.0001,1265856
1770662700,695,695.19,694.49,694.67,1027666
1770663600,694.67,695.34,694.49,695.26,1465871
1770664500,695.25,695.87,695.18,695.74,1554718
1770665400,695.74,695.85,695.49,695.59,1146056
1770666300,695.59,695.7,695.34,695.42,1079478
1770667200,695.42,695.72,695.32,695.415,1113713
1770668100,695.41,695.43,694.33,694.575,2420172
1770669000,694.57,694.845,693.88,694.61,3731780
1770669900,694.6,695.02,693.91,693.92,6490968
1770733800,694.95,695.55,693.455,693.985,4812972
1770734700,694,696.16,693.64,695.75,3043858
1770735600,695.74,696.435,694.71,695.41,2290021
1770736500,695.41,696.39,694.96,695.92,2011966
1770737400,695.905,696.54,695.35,696.065,1686641
1770738300,696.07,696.21,694.91,695.395,1283701
1770739200,695.4,695.67,694.62,694.9,1339136
1770740100,694.89,695.32,694.09,694.78,1824465
1770741000,694.77,695.12,694.45,694.645,1048956
1770741900,694.65,695.4,694.32,694.77,1009847
1770742800,694.755,695.54,694.2,695.475,1093469
1770743700,695.47,695.6701,694.96,695.25,1159565
1770744600,695.25,695.57,694.825,695.49,748172
1770745500,695.485,695.8,695.34,695.4413,734689
1770746400,695.45,695.47,694.54,694.595,832318
1770747300,694.58,694.67,693.37,693.44,1934899
1770748200,693.43,693.86,693,693.615,1917333
1770749100,693.595,693.82,692.85,693.64,1680477
1770750000,693.65,693.88,693.24,693.6599,1366866
1770750900,693.662,693.905,693.13,693.87,944623
1770751800,693.87,694.13,693.36,693.51,1160764
1770752700,693.52,693.9,693.365,693.77,882667
1770753600,693.76,693.993,693.11,693.21,1339746
1770754500,693.2,693.84,693.11,693.2975,1528007
1770755400,693.3,693.54,692.87,693.06,2376603
1770756300,693.06,693.435,691.66,692.11,9552126
1770820200,696.43,697.14,695.145,695.41,4821215
1770821100,695.42,696.38,693.805,694.12,3469581
1770822000,694.13,694.76,690.83,691.75,4344140
1770822900,691.755,691.94,689.18,689.72,5290689
1770823800,689.7301,691.74,689.56,691.205,3694766
1770824700,691.2,692.62,690.2599,692.35,3017149
1770825600,692.33,692.925,691.38,692.82,1849114
1770826500,692.82,693.45,691.82,691.84,1932549
1770827400,691.82,693.35,691.5,692.995,1878198
1770828300,693,693.32,691.99,692.05,1516532
1770829200,692.05,692.6,691.39,692.345,1763508
1770830100,692.37,693.84,692.09,693.597,2021559
1770831000,693.6,693.86,693.005,693.72,1112057
1770831900,693.735,693.99,692.55,692.77,1050901
1770832800,692.77,692.98,691.52,691.65,1720747
1770833700,691.64,692.88,691.41,692.79,1890961
1770834600,692.7897,693.01,692.16,692.405,1253539
1770835500,692.42,693.02,692.03,692.73,1411772
1770836400,692.73,693.43,692.11,693.28,2027301
1770837300,693.27,693.955,693.22,693.74,1466887
1770838200,693.75,693.86,693.3,693.71,1117033
1770839100,693.71,693.75,692.42,692.94,2052876
1770840000,692.92,693.1,692.65,692.79,1173442
1770840900,692.785,693.08,692.23,692.255,1748161
1770841800,692.25,692.925,691.8505,692.5,2651378
1770842700,692.5,692.99,691.77,691.91,5687194
1770906600,694.28,695.35,693.9806,694.0299,4319776
1770907500,694.03,694.35,692.32,692.83,4039876
1770908400,692.84,693.63,692.16,693.38,2745477
1770909300,693.37,693.73,692.51,693.065,2128757
1770910200,693.08,693.48,690.32,690.38,3481093
1770911100,690.37,690.9,688.585,688.65,3582765
1770912000,688.66,688.805,686.04,686.32,6378451
1770912900,686.3187,686.47,683.575,683.595,7433686
1770913800,683.6,685.84,683.525,684.92,5451262
1770914700,684.92,685.36,683.89,684.64,3296861
1770915600,684.63,685.1,683.38,683.84,3218104
1770916500,683.8,685.27,683.46,684.12,3030498
1770917400,684.1,685.575,683.88,685.11,2136074
1770918300,685.11,685.399,682.95,682.99,1921664
1770919200,682.99,684.12,682.48,683.3,2018973
1770920100,683.29,683.765,682.22,683.17,2960661
1770921000,683.165,684.93,682.8,684.86,2596409
