time,open,high,low,close,Volume
1777576620,274.27,274.35,274.27,274.3,73061
1777576680,274.3,274.38,274.105,274.31,92072
1777576740,274.3,274.325,274.11,274.18,61932
1777576800,274.15,274.2,274.09,274.18,46606
1777576860,274.17,274.17,274.0299,274.12,48513
1777576920,274.12,274.17,273.99,274.07,73914
1777576980,274.08,274.15,274,274.11,61134
1777577040,274.11,274.31,274.11,274.28,64896
1777577100,274.29,274.4,274.27,274.365,98753
1777577160,274.36,274.37,274.26,274.315,68984
1777577220,274.31,274.46,274.26,274.27,70774
1777577280,274.2899,274.38,274.2544,274.34,54491
1777577340,274.35,274.495,274.35,274.49,83111
1777577400,274.47,274.53,274.135,274.17,113226
1777577460,274.1501,274.2,273.95,273.95,74065
1777577520,273.965,274.15,273.92,274.1,84252
1777577580,274.095,274.13,274,274.095,116308
1777577640,274.09,274.12,273.91,273.945,84383
1777577700,273.95,274.089,273.9,274.06,66583
1777577760,274.06,274.27,274.06,274.116,128036
1777577820,274.14,274.24,274.1,274.2325,66622
1777577880,274.22,274.24,274.05,274.13,66453
1777577940,274.135,274.17,274.05,274.1559,80643
1777578000,274.14,274.25,274.11,274.15,56616
1777578060,274.145,274.19,274.095,274.17,56363
1777578120,274.17,274.41,274.17,274.33,143282
1777578180,274.34,274.36,274.26,274.32,86242
1777578240,274.32,274.49,274.315,274.49,85317
1777578300,274.48,274.55,274.37,274.38,135612
1777578360,274.38,274.475,274.296,274.31,105522
1777578420,274.3084,274.44,274.3,274.34,81131
1777578480,274.345,274.41,274.28,274.32,88802
1777578540,274.31,274.41,274.16,274.2651,87489
1777578600,274.27,276,274.27,275.7011,1375009
1777578660,275.7,275.7,274.77,274.9,506779
1777578720,274.94,274.94,273.23,273.475,793396
1777578780,273.51,273.62,273.06,273.55,415332
1777578840,273.55,273.56,271.59,272.385,519643
1777578900,272.42,272.42,271.065,271.305,844368
1777578960,271.31,271.97,271.305,271.52,576548
1777579020,271.53,271.54,270.34,270.87,925693
1777579080,270.89,271.2,270.56,270.97,975527
1777579140,270.97,272.24,270.95,271.205,1988147
1777642200,278.855,281.75,278.37,281.4,2813814
1777642260,281.4,282.77,280.525,281.075,1196059
1777642320,281.055,283.25,280.85,283.02,958438
1777642380,283,283.75,282.17,282.39,771026
1777642440,282.43,282.82,280.61,280.75,568301
1777642500,280.68,281.38,279.75,279.96,554913
1777642560,280,280.37,278.64,279.08,514931
1777642620,279.1,280.45,279,280.39,527477
1777642680,280.4,280.44,279.2957,280.2913,440634
1777642740,280.32,281.76,280.23,280.99,432748
1777642800,280.9875,281.97,280.915,281.9,339882
1777642860,281.9,282.15,280.77,281.53,508914
1777642920,281.47,281.715,280.74,281.42,229844
1777642980,281.435,282.39,281.33,282.19,365056
1777643040,282.205,282.65,281.76,282.15,397978
1777643100,282.02,282.42,281.42,282.31,308115
1777643160,282.315,282.85,281.96,282.52,386420
1777643220,282.535,283,282.44,282.6201,373417
1777643280,282.6208,283.55,282.61,283.29,514599
1777643340,283.31,283.73,283.02,283.4275,370142
1777643400,283.513,284.46,283.21,284.45,598416
1777643460,284.4404,284.47,283.77,283.81,296462
1777643520,283.839,284.75,283.56,284.525,380502
1777643580,284.495,284.5325,283.41,283.64,277727
1777643640,283.68,284.25,283.485,283.54,251875
1777643700,283.549,284.34,283.52,283.9,340758
1777643760,283.8901,284.03,283.23,283.23,214433
1777643820,283.23,283.68,282.87,283.1601,203142
1777643880,283.2,283.61,282.9,283.5115,193151
1777643940,283.53,284.17,283.37,283.95,243269
1777644000,283.95,284.68,283.825,284.68,310811
1777644060,284.655,285.42,284.44,285.06,1155120
1777644120,285.08,285.45,284.65,284.85,264634
1777644180,284.8303,284.94,284.35,284.8599,296774
1777644240,284.855,285.35,284.68,285.27,404248
1777644300,285.2599,285.3,284.3503,284.6899,243177
1777644360,284.665,285.22,284.6401,285.22,217086
1777644420,285.19,285.6,284.8001,284.8105,302691
1777644480,284.8351,285.46,284.75,285.4148,199247
1777644540,285.39,286.1,285.39,285.775,686049
1777644600,285.775,286.19,285.65,286,300446
1777644660,285.97,286.14,285.77,286.02,219526
1777644720,286.01,286.97,285.9,286.92,443745
