time,open,high,low,close,Volume
1776800220,267.73,267.7399,267.62,267.72,66778
1776800280,267.725,267.7399,267.37,267.43,86109
1776800340,267.445,267.48,267.21,267.33,82807
1776800400,267.335,267.35,267.0801,267.18,64565
1776800460,267.2,267.22,266.7,266.71,139329
1776800520,266.73,266.75,266.25,266.34,213982
1776800580,266.33,266.43,266.13,266.33,89550
1776800640,266.33,266.34,266.06,266.3,108035
1776800700,266.33,266.55,266.2903,266.42,108459
1776800760,266.41,266.64,266.4,266.64,68933
1776800820,266.625,266.87,266.62,266.765,84550
1776800880,266.79,266.83,266.58,266.6,134366
1776800940,266.59,266.69,266.57,266.61,111344
1776801000,266.62,267.01,266.62,266.7101,118972
1776801060,266.71,266.76,266.6,266.63,133033
1776801120,266.64,266.76,266.5201,266.725,106544
1776801180,266.75,266.99,266.727434,266.89,144199
1776801240,266.9,267.07,266.82,266.865,142635
1776801300,266.87,266.88,266.33,266.425,263890
1776801360,266.425,266.47,266.19,266.28,182455
1776801420,266.27,266.28,265.94,265.97,282365
1776801480,265.97,265.98,265.87,265.95,316178
1776801540,265.95,266.23,265.945,266.22,672492
1776864600,267.74,268.15,267.15,267.95,1089814
1776864660,267.965,268.05,267.03,267.12,204465
1776864720,267.0932,267.7,267.09,267.67,99019
1776864780,267.69,268.0399,267.66,267.8783,152195
1776864840,267.86,267.8899,267.08,267.32,117905
1776864900,267.35,267.65,267.35,267.64,86898
1776864960,267.65,267.66,266.99,267.0499,85069
1776865020,267.025,267.3698,266.87,267.36,60005
1776865080,267.34,267.6499,267.23,267.5801,87144
1776865140,267.595,267.85,267.59,267.84,109494
1776865200,267.825,268.01,267.6,267.755,89761
1776865260,267.755,268.31,267.689585,268.285,134662
1776865320,268.31,268.48,268.05,268.455,131315
1776865380,268.455,268.6,268.29,268.395,142870
1776865440,268.4399,268.4399,268.13,268.24,57520
1776865500,268.3,268.65,268.2901,268.63,140422
1776865560,268.61,269.12,268.5437,268.8,196081
1776865620,268.8575,269.1,268.72,268.96,111862
1776865680,268.9244,269.03,268.72,268.96,103635
1776865740,268.94,268.94,268.51,268.545,121413
1776865800,268.51,268.97,268.47,268.86,65510
1776865860,268.81,268.95,268.6,268.785,61813
1776865920,268.76,268.86,268.345,268.37,68786
1776865980,268.37,268.73,268.365,268.685,45498
1776866040,268.655,268.7999,268.51,268.56,65928
1776866100,268.56,268.82,268.49,268.8,41183
1776866160,268.79,268.81,268.64,268.64,75248
1776866220,268.65,268.74,268.55,268.595,49616
1776866280,268.58,268.64,268.28,268.29,59747
1776866340,268.255,268.5,268.17,268.5,62452
1776866400,268.44,268.6,268.43,268.55,67345
1776866460,268.59,268.89,268.59,268.8699,87248
1776866520,268.86,269.02,268.83,268.91,95405
1776866580,268.92,269.03,268.84,268.97,80114
1776866640,268.94,269.1,268.92,269.085,52362
1776866700,269.085,269.1813,268.96,268.9602,83250
1776866760,268.96,269.4,268.9101,269.38,85099
1776866820,269.38,269.69,269.35,269.66,150734
1776866880,269.63,269.7751,269.59,269.7301,122776
1776866940,269.74,269.79,269.5,269.68,78316
1776867000,269.675,270.21,269.675,270.185,359097
1776867060,270.17,270.46,270.11,270.3536,198608
1776867120,270.3799,270.55,270.1,270.1,155858
1776867180,270.11,270.61,270.011,270.5601,149421
1776867240,270.555,270.78,270.44,270.665,125080
1776867300,270.6601,270.84,270.6,270.72,153456
1776867360,270.72,270.73,270.34,270.5601,119968
1776867420,270.57,271.2,270.535,271.18,191347
1776867480,271.18,271.5,270.9021,271.47,192333
1776867540,271.47,271.5,271.2,271.36,145455
1776867600,271.35,271.75,271.345,271.535,212327
1776867660,271.54,271.775,271.49,271.7301,156609
1776867720,271.7399,271.78,271.58,271.59,131134
1776867780,271.58,271.61,271.19,271.3886,130461
1776867840,271.37,271.59,271.328,271.58,96813
1776867900,271.58,271.64,271.34,271.39,93226
1776867960,271.37,271.5,271.3299,271.38,48164
1776868020,271.367,271.89,271.3602,271.85,114381
1776868080,271.84,271.89,271.63,271.72,104417
1776868140,271.72,271.94,271.62,271.94,67843
1776868200,271.94,272.1,271.9,272.04,193831
1776868260,272.04,272.34,272,272.275,163124
1776868320,272.27,272.425,272.0006,272.055,136769
1776868380,272.05,272.375,271.8501,272.375,123256
1776868440,272.375,272.56,272.25,272.35,140485
1776868500,272.31,272.38,272,272.04,120700
1776868560,272.05,272.27,272,272.13,81701
1776868620,272.11,272.27,272.09,272.195,52323
1776868680,272.2,272.2665,271.9201,271.96,102554
1776868740,271.96,272.04,271.82,271.85,85971
1776868800,271.85,271.86,271.595,271.8599,99002
1776868860,271.84,271.8858,271.7301,271.85,73275
1776868920,271.81,272.07,271.81,272.02,67358
1776868980,272.01,272.09,271.71,271.73,50907
1776869040,271.73,271.82,271.6007,271.6298,51413
1776869100,271.615,271.8494,271.6002,271.65,50048
1776869160,271.67,271.725,271.35,271.38,107962
1776869220,271.3507,271.51,271.3,271.43,106533
1776869280,271.43,271.4599,271.22,271.2209,68667
1776869340,271.22,271.22,270.98,271.01,124785
1776869400,271.01,271.3,271,271.26,90285
1776869460,271.2899,271.43,271.17,271.19,58423
1776869520,271.19,271.3199,271.1301,271.26,32387
1776869580,271.24,271.45,271.21,271.45,35762
1776869640,271.4601,271.67,271.4601,271.67,44707
1776869700,271.64,271.79,271.5,271.5,63367
