time,open,high,low,close,Volume
1777642200,382.39,383.76,381.73,383.76,260590
1777642210,383.61,385.31,383.2001,384.9451,163712
1777642220,385.05,386.09,384.7,385.195,124216
1777642230,385.2999,385.76,384.8,385.04,69057
1777642240,385.1,385.3,384.08,384.673,56667
1777642250,384.75,385.4999,384.4,385.27,38842
1777642260,385.27,385.7,385.06,385.5038,44432
1777642270,385.51,386.44,385.2,385.58,104747
1777642280,385.79,386.44,385.6,386.28,82351
1777642290,386.29,386.77,385.88,385.99,80225
1777642300,386,386.24,385.04,385.61,58970
1777642310,385.5,386.01,385.3622,385.8999,28217
1777642320,385.78,387.3999,385.5129,386.7055,118571
1777642330,386.64,386.82,385.86,386.05,62441
1777642340,386.13,386.13,384.84,385.165,98226
1777642350,385.1,385.4399,384.99,385.1881,27938
1777642360,385.2,385.5917,384.99,385.2485,39842
1777642370,385.17,385.369,384.572,384.74,51091
1777642380,384.6101,384.83,383.51,383.8899,83473
1777642390,383.99,385.4099,383.85,385.26,35674
1777642400,385.26,385.8099,385.12,385.56,52930
1777642410,385.4709,385.68,385.24,385.52,48467
1777642420,385.52,385.92,384.7093,385.3499,49754
1777642430,385.2,385.5599,384.71,384.82,22883
1777642440,384.765,385.0561,384.55,384.6499,43173
1777642450,384.55,385.42,384.55,385.3625,25178
1777642460,385.325,385.68,384.69,384.86,96117
1777642470,384.825,385.1699,384.44,384.735,43508
1777642480,384.68,384.68,384.03,384.21,43386
1777642490,384.2,384.51,384.08,384.311,28883
1777642500,384.38,384.6,384.27,384.4725,27112
1777642510,384.465,384.53,383.6201,383.89,56149
1777642520,383.7501,383.8702,382.58,382.625,63065
1777642530,382.59,382.67,381.76,381.8205,69345
1777642540,381.895,382.84,381.83,382.8362,55691
1777642550,382.8,383.1,382.69,383.01,42997
1777642560,382.94,383.26,382.36,383.1227,52164
1777642570,382.96,383.16,382.8,382.9501,26359
1777642580,383,383.01,382.1,382.235,40951
1777642590,382.33,382.5091,382.13,382.25,27779
1777642600,382.23,382.64,382.11,382.428,33953
1777642610,382.46,382.7699,382.46,382.5906,18450
1777642620,382.6499,382.6499,381.89,382.51,42615
1777642630,382.51,382.6499,382.13,382.34,40485
1777642640,382.33,382.65,381.99,382.1,32969
1777642650,382.11,382.14,381.3111,381.43,70737
1777642660,381.405,381.93,381.3401,381.76,47866
1777642670,381.81,382.0299,381.24,381.25,64554
1777642680,381.3399,381.46,381.2,381.3722,51900
1777642690,381.325,381.4107,380.75,380.89,69057
1777642700,380.845,381.22,380.22,380.22,64494
1777642710,380.265,380.75,378.8,380.72,92963
1777642720,380.81,381.7199,380.65,381.6,55865
1777642730,381.645,382.08,381.49,381.9499,46685
1777642740,381.92,382.3,381.81,381.89,43446
1777642750,381.9,382.35,381.8,381.92,33936
1777642760,381.96,382.01,381.5,381.68,23950
1777642770,381.73,383.95,381.52,381.7751,42491
1777642780,381.8293,382.46,381.66,382.39,27436
1777642790,382.39,382.56,382.36,382.48,34427
1777642800,382.5423,382.72,382.24,382.365,37721
1777642810,382.365,382.57,382.0801,382.1701,32370
1777642820,382.25,382.29,381.97,382.09,23944
1777642830,382.11,382.42,382.02,382.4,23510
1777642840,382.41,382.6,382.075,382.6,15436
1777642850,382.515,382.72,382.37,382.59,27118
