time,open,high,low,close,Volume
1772815200,14.42,14.55,14.39,14.52,1166655
1772815800,14.52,14.5499,14.425,14.43,2063785
1772816400,14.4302,14.4599,14.315,14.33,1157356
1772817000,14.33,14.3999,14.33,14.39,753974
1772817600,14.4,14.4598,14.33,14.375,980210
1772818200,14.38,14.38,14.2501,14.27,852054
1772818800,14.275,14.34,14.25,14.325,823568
1772819400,14.33,14.3899,14.3101,14.325,924070
1772820000,14.32,14.435,14.305,14.4297,868873
1772820600,14.425,14.5899,14.42,14.565,1190813
1772821200,14.57,14.62,14.5,14.53,1207988
1772821800,14.5399,14.58,14.465,14.495,717225
1772822400,14.4901,14.5082,14.425,14.45,705511
1772823000,14.45,14.45,14.33,14.345,736652
1772823600,14.35,14.39,14.3333,14.3899,835137
1772824200,14.38,14.415,14.37,14.41,661529
1772824800,14.41,14.42,14.34,14.4099,874546
1772825400,14.4,14.435,14.3439,14.385,650573
1772826000,14.385,14.43,14.35,14.365,573409
1772826600,14.365,14.4699,14.35,14.46,487009
1772827200,14.455,14.51,14.4499,14.47,1035311
1772827800,14.47,14.475,14.32,14.37,1348850
1772828400,14.37,14.37,14.195,14.215,1495639
1772829000,14.21,14.2599,14.1797,14.2499,1183299
1772829600,14.245,14.32,14.2001,14.285,1223257
1772830200,14.29,14.29,14.19,14.2032,1927934
1773063000,13.72,13.935,13.535,13.5439,5300038
1773063600,13.5499,13.58,13.36,13.375,5172489
1773064200,13.3743,13.41,13.23,13.34,4896640
1773064800,13.34,13.45,13.1901,13.25,4973511
1773065400,13.245,13.32,13.11,13.2963,3285081
1773066000,13.29,13.38,13.18,13.2599,2697574
1773066600,13.27,13.42,13.27,13.385,2334185
1773067200,13.385,13.44,13.325,13.42,2152605
1773067800,13.43,13.4607,13.38,13.4198,2135685
1773068400,13.42,13.53,13.42,13.4785,1666993
1773069000,13.48,13.56,13.45,13.505,1444710
1773069600,13.505,13.62,13.48,13.6,1395687
1773070200,13.595,13.615,13.54,13.61,1392838
1773070800,13.6039,13.62,13.52,13.61,1227940
1773071400,13.61,13.72,13.61,13.6999,1667954
1773072000,13.7,13.725,13.66,13.6699,1410408
1773072600,13.66,13.6799,13.62,13.64,1228671
1773073200,13.64,13.785,13.59,13.73,1805625
1773073800,13.735,13.7799,13.67,13.7297,955596
1773074400,13.725,13.7999,13.71,13.7501,978878
1773075000,13.7599,13.77,13.71,13.73,922051
1773075600,13.73,13.76,13.671,13.72,995760
1773076200,13.7199,13.75,13.67,13.68,702928
1773076800,13.685,13.69,13.623,13.655,1020764
1773077400,13.6501,13.72,13.63,13.645,853137
1773078000,13.65,13.7199,13.62,13.69,755862
1773078600,13.69,13.74,13.6699,13.7299,587935
1773079200,13.73,13.7661,13.7,13.73,934806
1773079800,13.72,13.84,13.71,13.83,812570
1773080400,13.83,13.85,13.79,13.81,693445
1773081000,13.8165,13.9,13.8001,13.892,1443656
1773081600,13.89,13.99,13.88,13.955,1070289
1773082200,13.95,13.96,13.88,13.895,879902
1773082800,13.9,13.92,13.86,13.87,565408
1773083400,13.87,14.16,13.8499,14.155,1588739
1773084000,14.15,14.485,14.11,14.475,3669925
1773084600,14.4802,14.5507,14.35,14.51,2871502
1773085200,14.5099,14.5099,14.315,14.385,1645958
1773085800,14.39,14.41,14.24,14.3445,2587202
1773149400,14.59,14.83,14.515,14.63,5115398
1773150000,14.62,14.731,14.55,14.705,3532884
1773150600,14.71,14.905,14.69,14.86,3613300
1773151200,14.865,14.877,14.62,14.6301,2490051
1773151800,14.64,14.68,14.575,14.67,1749622
1773152400,14.675,14.7161,14.5,14.525,1786738
1773153000,14.52,14.595,14.5,14.55,1769859
1773153600,14.55,14.63,14.5301,14.605,1481348
1773154200,14.61,14.79,14.61,14.775,1873148
1773154800,14.78,14.88,14.7,14.725,1893748
1773155400,14.72,14.7899,14.68,14.74,866202
1773156000,14.74,14.755,14.69,14.695,671528
1773156600,14.6999,14.71,14.6,14.6,925464
1773157200,14.5977,14.6799,14.5714,14.62,781177
1773157800,14.63,14.655,14.5993,14.6301,729001
1773158400,14.62,14.62,14.5009,14.535,859113
1773159000,14.535,14.65,14.5,14.625,946629
1773159600,14.63,14.69,14.6,14.6261,1879024
1773160200,14.63,14.68,14.5899,14.665,673467
1773160800,14.66,14.7,14.59,14.5901,625757
1773161400,14.59,14.71,14.5893,14.6898,590745
1773162000,14.69,14.74,14.65,14.68,1046405
1773162600,14.68,14.725,14.61,14.7001,836733
1773163200,14.705,14.705,14.63,14.68,584548
1773163800,14.67,14.675,14.512,14.565,1085642
1773164400,14.5601,14.66,14.55,14.64,827349
1773165000,14.635,14.67,14.5701,14.585,510782
1773165600,14.59,14.605,14.51,14.5399,715909
1773166200,14.54,14.5701,14.31,14.365,2279380
1773166800,14.365,14.52,14.3,14.4701,1508050
1773167400,14.48,14.5266,14.419,14.45,740340
1773168000,14.44,14.5271,14.39,14.5,935776
1773168600,14.494,14.565,14.4465,14.48,775510
1773169200,14.48,14.51,14.4539,14.495,796013
1773169800,14.49,14.55,14.44,14.5401,673547
1773170400,14.5499,14.57,14.4101,14.42,1030096
1773171000,14.42,14.445,14.35,14.425,973989
1773171600,14.43,14.485,14.365,14.3815,1060112
1773172200,14.39,14.4,14.31,14.3793,1566348
1773235800,14.59,15.22,14.585,15.035,7842646
1773236400,15.035,15.16,15.015,15.1107,4069633
1773237000,15.1139,15.33,15.04,15.315,4212089
1773237600,15.315,15.6,15.3,15.315,6808168
1773238200,15.315,15.38,15.22,15.345,2574760
1773238800,15.3493,15.37,15.2121,15.2876,1663158
1773239400,15.2801,15.34,15.18,15.2725,2038606
1773240000,15.28,15.309,15.16,15.1893,1054869
1773240600,15.1843,15.2,15.11,15.18,1422618
1773241200,15.1882,15.26,15.16,15.2102,1387951
1773241800,15.21,15.24,15.07,15.105,1794637
1773242400,15.1,15.23,15.07,15.0703,983531
1773243000,15.08,15.09,14.92,14.96,1640465
1773243600,14.945,15,14.88,14.935,1621956
1773244200,14.935,15.025,14.91,14.92,1148818
1773244800,14.92,14.945,14.89,14.9129,698025
1773245400,14.92,14.98,14.88,14.8999,861565
1773246000,14.9,14.97,14.9,14.9577,734103
1773246600,14.96,15.055,14.9521,15.0002,882242
